tipoProducto,codigoDncp,nombre,estado,codigo,mapa,clasificadorProducto,subclasificadorProducto,concentracion,formaFarmaceutica,presentacion,codigoGrupoFarmacologico,nombreGrupoFarmacologico,codigoSubgrupoFarmacologico,nombreSubgrupoFarmacologico,tipoAdquisicion,id
"MEDICAMENTO","51121715-003","ENALAPRILATO (ANHIDRO)","HABILITADO","2269","false","SISTEMA CARDIOVASCULAR","MEDICAMENTO -ANGENTES QUE ACTÚAN SOBRE EL SISTEMA RENINA-ANGIOTENSINA","2.5 MG/ML __","INYECTABLE","AMPOLLA 1ML","C","SISTEMA CARDIOVASCULAR","9","MEDICAMENTO -ANGENTES QUE ACTÚAN SOBRE EL SISTEMA RENINA-ANGIOTENSINA","LISTADO BASICO","47244",
"MEDICAMENTO","","ENANTATO DE NORETISTERONA + VALERATO DE ESTRADIOL","HABILITADO","2270","false","SISTEMA GENITOURINARIO Y HORMONAS SEXUALES","MEDICAMENTO -HORMONAS SEXUALES Y MODULADORES DEL SISTEMA GENITAL","50 MG + 5 MG __","INYECTABLE","AMPOLLA 1ML","G","SISTEMA GENITOURINARIO Y HORMONAS SEXUALES","3","MEDICAMENTO -HORMONAS SEXUALES Y MODULADORES DEL SISTEMA GENITAL","LISTADO BASICO","47245",
"MEDICAMENTO","51131607-001","ENOXAPARINA","HABILITADO","2271","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -AGENTES ANTITROMBÓTICOS","60 MG (6.000 UI) __","INYECTABLE","JERINGA PRECARGADA","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","1","MEDICAMENTO -AGENTES ANTITROMBÓTICOS","LISTADO BASICO","47246",
"MEDICAMENTO","","ENOXAPARINA","HABILITADO","2272","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -AGENTES ANTITROMBÓTICOS","40 MG (4.000 UI) __","INYECTABLE","JERINGA PRECARGADA","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","1","MEDICAMENTO -AGENTES ANTITROMBÓTICOS","LISTADO BASICO","47247",
"MEDICAMENTO","51182204-001","ERGONOVINA MALEATO","HABILITADO","2273","false","SISTEMA GENITOURINARIO Y HORMONAS SEXUALES","MEDICAMENTO -OTROS PRODUCTOS GINECOLÓGICOS","0,2 MG / ML __","INYECTABLE","AMPOLLA X 2 ML","G","SISTEMA GENITOURINARIO Y HORMONAS SEXUALES","2","MEDICAMENTO -OTROS PRODUCTOS GINECOLÓGICOS","LISTADO BASICO","47248",
"MEDICAMENTO","","ERITROPOYETINA ALFA","HABILITADO","2274","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -PREPARADOS ANTIANÉMICOS","2.000 UI - 4.000 UI __","INYECTABLE","AMPOLLA-JERINGA PRECARG","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","3","MEDICAMENTO -PREPARADOS ANTIANÉMICOS","LISTADO BASICO","47249",
"MEDICAMENTO","51191507-001","ESPIRONOLACTONA","HABILITADO","2275","false","SISTEMA CARDIOVASCULAR","MEDICAMENTO -DIURÉTICOS","25 MG __","COMPRIMIDO","BLISTER X 10","C","SISTEMA CARDIOVASCULAR","3","MEDICAMENTO -DIURÉTICOS","LISTADO BASICO","47250",
"MEDICAMENTO","","ESTAVUDINA","HABILITADO","2276","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","30 MG __","CAPSULA","BLISTER X 10","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47251",
"MEDICAMENTO","","ESTAVUDINA","HABILITADO","2277","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","40 MG __","CAPSULA","BLISTER X 10","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47252",
"MEDICAMENTO","","ESTREPTOMICINA SULFATO","HABILITADO","2278","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","1 G __","INYECTABLE","FRASCO AMPOLLA","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47253",
"MEDICAMENTO","51131703-001","ESTREPTOQUINASA","HABILITADO","2279","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -AGENTES ANTITROMBÓTICOS","1.500.000 UI __","INYECTABLE","FRASCO AMPOLLA","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","1","MEDICAMENTO -AGENTES ANTITROMBÓTICOS","LISTADO BASICO","47254",
"MEDICAMENTO","","ETAMBUTOL (CLORHIDRATO)","HABILITADO","2280","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIMICOBATERIAS (TUBERCULOSIS Y LEPRA)","400 MG __","COMPRIMIDO","NORMA PROGRAMA TB","J","ANTIINFECCIOSOS PARA USO SISTEMICO","4","MEDICAMENTO -ANTIMICOBATERIAS (TUBERCULOSIS Y LEPRA)","LISTADO BASICO","47255",
"MEDICAMENTO","51131805-002","ETAMSILATO","HABILITADO","2281","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -ANTIHEMORRÁGICOS","250 MG __","INYECTABLE","AMPOLLA X 2 ML","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","2","MEDICAMENTO -ANTIHEMORRÁGICOS","LISTADO BASICO","47256",
"MEDICAMENTO","","ETANOL/ALCOHOL RECTIFICADO","HABILITADO","2282","false","DERMATOLOGICOS","MEDICAMENTO -ANTISÉPTICOS Y DESINFECTANTES","70 %","SOLUCION","FRASCO","D","DERMATOLOGICOS","8","MEDICAMENTO -ANTISÉPTICOS Y DESINFECTANTES","LISTADO BASICO","47257",
"MEDICAMENTO","51122201-002","ETILEFRINA (CLORHIDRATO)","HABILITADO","2283","false","SISTEMA CARDIOVASCULAR","MEDICAMENTO -TERAPIA CARDÍACA","10MG/ML __","INYECTABLE","AMPOLLA 1ML","C","SISTEMA CARDIOVASCULAR","1","MEDICAMENTO -TERAPIA CARDÍACA","LISTADO BASICO","47258",
"MEDICAMENTO","","ETOMIDATO","HABILITADO","2284","false","SISTEMA NERVIOSO","MEDICAMENTO -ANESTÉSICOS","1MG/ML __","INYECTABLE","AMPOLLA X 2 ML","N","SISTEMA NERVIOSO","1","MEDICAMENTO -ANESTÉSICOS","LISTADO BASICO","47259",
"MEDICAMENTO","51111614-001","ETOPOSIDO","HABILITADO","2285","false","ANTINEOPLASICOS E INMUNOMODULARES","MEDICAMENTO -ANTINEOPLÁSICOS","100 MG _","INYECTABLE","AMPOLLA 5ML","L","ANTINEOPLASICOS E INMUNOMODULARES","1","MEDICAMENTO -ANTINEOPLÁSICOS","LISTADO BASICO","47260",
"MEDICAMENTO","","ETRAVIRINA","HABILITADO","2286","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","100 MG _","COMPRIMIDO","BLISTER X 10","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47261",
"MEDICAMENTO","51151606-001","FENILEFRINA + TROPICAMIDA","HABILITADO","2287","false","ORGANOS DE LOS SENTIDOS","MEDICAMENTO -OFTALMOLÓGICOS","5% + 05% __","SOLUCION OFTALMICA","FRASCO GOTERO","S","ORGANOS DE LOS SENTIDOS","1","MEDICAMENTO -OFTALMOLÓGICOS","LISTADO BASICO","47262",
"MEDICAMENTO","51141507-003","FENITOINA","HABILITADO","2288","false","SISTEMA NERVIOSO","MEDICAMENTO -ANTIEPILÉPTICOS","100 MG _","COMPRIMIDO","BLISTER X 10","N","SISTEMA NERVIOSO","3","MEDICAMENTO -ANTIEPILÉPTICOS","LISTADO BASICO","47263",
"MEDICAMENTO","","FENITOINA (SODICA)","HABILITADO","2289","false","SISTEMA NERVIOSO","MEDICAMENTO -ANTIEPILÉPTICOS","250 MG/5ML __","INYECTABLE","AMPOLLA 5ML","N","SISTEMA NERVIOSO","3","MEDICAMENTO -ANTIEPILÉPTICOS","LISTADO BASICO","47264",
"MEDICAMENTO","","FENOBARBITAL SODICO","HABILITADO","2290","false","SISTEMA NERVIOSO","MEDICAMENTO -ANTIEPILÉPTICOS","200 MG/5ML __","INYECTABLE","AMPOLLA","","SISTEMA NERVIOSO","","MEDICAMENTO -ANTIEPILÉPTICOS","DONACION","47265",
"MEDICAMENTO","51141505-002","FENOBARBITAL SODICO","HABILITADO","2291","false","SISTEMA NERVIOSO","MEDICAMENTO -ANTIEPILÉPTICOS","100 MG _","COMPRIMIDO","BLISTER X 10","N","SISTEMA NERVIOSO","3","MEDICAMENTO -ANTIEPILÉPTICOS","LISTADO BASICO","47266",
"MEDICAMENTO","51141505-999","FENOBARBITAL SODICO","HABILITADO","2292","false","SISTEMA NERVIOSO","MEDICAMENTO -ANTIEPILÉPTICOS","40 MG/ML __","LIQUIDO ORAL","FRASCO GOTERO","N","SISTEMA NERVIOSO","3","MEDICAMENTO -ANTIEPILÉPTICOS","LISTADO BASICO","47267",
"MEDICAMENTO","51131807-005","FITOMENADIONA (VITAMINA K1)","HABILITADO","2295","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -ANTIHEMORRÁGICOS","10 MG / ML __","INYECTABLE","AMPOLLA 1ML","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","2","MEDICAMENTO -ANTIHEMORRÁGICOS","LISTADO BASICO","47268",
"MEDICAMENTO","51131807-005","FITOMENADIONA (VITAMINA K1)","HABILITADO","2296","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -ANTIHEMORRÁGICOS","1 MG/ML __","INYECTABLE","AMPOLLA 1ML","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","2","MEDICAMENTO -ANTIHEMORRÁGICOS","LISTADO BASICO","47269",
"MEDICAMENTO","51101807-003","FLUCONAZOL","HABILITADO","2297","false","MEDICAMENTO -VARIOS","MEDICAMENTO -TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS","2 MG / 1 ML __","INYECTABLE","FRASCO 100ML","J","MEDICAMENTO -VARIOS","2","MEDICAMENTO -TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS","LISTADO BASICO","47270",
"MEDICAMENTO","51101807-004","FLUCONAZOL","HABILITADO","2298","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIMICÓTICOS PARA USO SISTÉMICO","200 MG __","CAPSULA","BLISTER X 10","J","ANTIINFECCIOSOS PARA USO SISTEMICO","2","MEDICAMENTO -ANTIMICÓTICOS PARA USO SISTÉMICO","LISTADO BASICO","47271",
"MEDICAMENTO","","FLUORURO DE SODIO","HABILITADO","2303","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -PREPARADOS ESTOMATOLÓGICOS","0,02 __","COMPRIMIDO","FRASCO","A","TRACTO ALIMENTARIO Y METABOLISMO","1","MEDICAMENTO -PREPARADOS ESTOMATOLÓGICOS","LISTADO BASICO","47272",
"MEDICAMENTO","51141618-001","FLUOXETINA (CLORHIDRATO)","HABILITADO","2304","false","SISTEMA NERVIOSO","MEDICAMENTO -PSICOANALÉPTICOS","20 MG __","COMPRIMIDO","BLISTER X 10","N","SISTEMA NERVIOSO","6","MEDICAMENTO -PSICOANALÉPTICOS","LISTADO BASICO","47273",
"MEDICAMENTO","51191510-001","FUROSEMIDA","HABILITADO","2308","false","SISTEMA CARDIOVASCULAR","MEDICAMENTO -DIURÉTICOS","40 MG __","COMPRIMIDO","BLISTER X 10","C","SISTEMA CARDIOVASCULAR","3","MEDICAMENTO -DIURÉTICOS","LISTADO BASICO","47274",
"MEDICAMENTO","51101584-006","GENTAMICINA SULFATO","HABILITADO","2312","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","40 MG/ML __","INYECTABLE","AMPOLLA X 10 ML","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47275",
"MEDICAMENTO","51181504-001","GLIMEPIRIDA","HABILITADO","2313","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -MEDICAMENTOS USADOS EN DIABETES","4 MG __","COMPRIMIDO","BLISTER X 10","A","TRACTO ALIMENTARIO Y METABOLISMO","10","MEDICAMENTO -MEDICAMENTOS USADOS EN DIABETES","LISTADO BASICO","47276",
"MEDICAMENTO","51181504-001","GLIMEPIRIDA","HABILITADO","2314","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -MEDICAMENTOS USADOS EN DIABETES","2 MG __","COMPRIMIDO","BLISTER X 10","A","TRACTO ALIMENTARIO Y METABOLISMO","10","MEDICAMENTO -MEDICAMENTOS USADOS EN DIABETES","LISTADO BASICO","47277",
"MEDICAMENTO","","GLUCONATO DE CALCIO","HABILITADO","2315","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","10 %","INYECTABLE","AMPOLLA X 10 ML","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","5","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","LISTADO BASICO","47278",
"MEDICAMENTO","51141702-003","HALOPERIDOL","HABILITADO","2317","false","SISTEMA NERVIOSO","MEDICAMENTO -PSICOLÉPTICOS","2 MG / ML __","LIQUIDO ORAL","FRASCO","N","SISTEMA NERVIOSO","5","MEDICAMENTO -PSICOLÉPTICOS","LISTADO BASICO","47279",
"MEDICAMENTO","51141702-002","HALOPERIDOL","HABILITADO","2318","false","SISTEMA NERVIOSO","MEDICAMENTO -PSICOLÉPTICOS","5 MG __","COMPRIMIDO","BLISTER X 10","N","SISTEMA NERVIOSO","5","MEDICAMENTO -PSICOLÉPTICOS","LISTADO BASICO","47280",
"MEDICAMENTO","51141702-001","HALOPERIDOL","HABILITADO","2319","false","SISTEMA NERVIOSO","MEDICAMENTO -PSICOLÉPTICOS","5 MG/ML __","INYECTABLE","AMPOLLA","N","SISTEMA NERVIOSO","5","MEDICAMENTO -PSICOLÉPTICOS","LISTADO BASICO","47281",
"MEDICAMENTO","51141716-001","HALOPERIDOL DECANOATO","HABILITADO","2320","false","SISTEMA NERVIOSO","MEDICAMENTO -PSICOLÉPTICOS","50 MG/ML __","INYECTABLE","AMPOLLA","N","SISTEMA NERVIOSO","5","MEDICAMENTO -PSICOLÉPTICOS","LISTADO BASICO","47282",
"MEDICAMENTO","51142913-002","HALOTANO","HABILITADO","2321","false","SISTEMA NERVIOSO","MEDICAMENTO -ANESTÉSICOS","0,01% DE TIMOL __","SOLUCION PARA INHALACION","FRASCO 250ML","N","SISTEMA NERVIOSO","1","MEDICAMENTO -ANESTÉSICOS","LISTADO BASICO","47283",
"MEDICAMENTO","51131603-001","HEPARINA SODICA","HABILITADO","2322","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -AGENTES ANTITROMBÓTICOS","5.000 UI / ML __","INYECTABLE","VIAL 5ML","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","1","MEDICAMENTO -AGENTES ANTITROMBÓTICOS","LISTADO BASICO","47284",
"MEDICAMENTO","51181706-003","HIDROCORTISONA SUCCINATO SODICO","HABILITADO","2328","false","PREPARADOS HORMONALES SISTEMICOS","MEDICAMENTO -CORTICOESTEROIDES PARA USO SISTÉMICO","500 MG __","INYECTABLE","FRASCO AMPOLLA","H","PREPARADOS HORMONALES SISTEMICOS","2","MEDICAMENTO -CORTICOESTEROIDES PARA USO SISTÉMICO","LISTADO BASICO","47285",
"MEDICAMENTO","51131503-001","HIERRO ELEMENTAL (SULFATO FERROSO)","HABILITADO","2330","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -PREPARADOS ANTIANÉMICOS","20 MG __","LIQUIDO ORAL","FRASCO GOTERO","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","3","MEDICAMENTO -PREPARADOS ANTIANÉMICOS","LISTADO BASICO","47286",
"MEDICAMENTO","","HIERRO SACARATO","HABILITADO","2331","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -PREPARADOS ANTIANÉMICOS","100 MG _","INYECTABLE","FRASCO AMPOLLA","","SANGRE Y ORGANOS FORMADORES DE SANGRE","","MEDICAMENTO -PREPARADOS ANTIANÉMICOS","DONACION","47287",
"MEDICAMENTO","51142106--002","IBUPROFENO","HABILITADO","2334","false","SISTEMA MUSCULOESQUELETICO","MEDICAMENTO -ANTIINFLAMATORIOS Y ANTIRREUMÁTICOS","400 MG __","COMPRIMIDO","BLISTER X 10","M","SISTEMA MUSCULOESQUELETICO","1","MEDICAMENTO -ANTIINFLAMATORIOS Y ANTIRREUMÁTICOS","LISTADO BASICO","47288",
"MEDICAMENTO","51101508-005","IMIPENEM (MONOHIDRATO) + CILASTATINA (SAL SODICA)","HABILITADO","2336","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","500 MG + 500 MG __","INYECTABLE","FRASCO AMPOLLA","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47289",
"MEDICAMENTO","","INSULINA HUMANA LENTA ANALOGA","HABILITADO","2341","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -MEDICAMENTOS USADOS EN DIABETES","100 UI/ML __","INYECTABLE","FRASCO AMPOLLA","A","TRACTO ALIMENTARIO Y METABOLISMO","10","MEDICAMENTO -MEDICAMENTOS USADOS EN DIABETES","LISTADO BASICO","47290",
"MEDICAMENTO","51181506-005","INSULINA HUMANA ULTRA RAPIDA","HABILITADO","2344","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -MEDICAMENTOS USADOS EN DIABETES","100 UI/ML __","INYECTABLE","FRASCO AMPOLLA 10 ML","A","TRACTO ALIMENTARIO Y METABOLISMO","10","MEDICAMENTO -MEDICAMENTOS USADOS EN DIABETES","LISTADO BASICO","47291",
"MEDICAMENTO","51102722-001","IODOPOVIDONA","HABILITADO","2345","false","DERMATOLOGICOS","MEDICAMENTO -ANTISÉPTICOS Y DESINFECTANTES","10 %","SOLUCION","FRASCO","D","DERMATOLOGICOS","8","MEDICAMENTO -ANTISÉPTICOS Y DESINFECTANTES","LISTADO BASICO","47292",
"MEDICAMENTO","51102722-002","IODOPOVIDONA","HABILITADO","2346","false","DERMATOLOGICOS","MEDICAMENTO -ANTISÉPTICOS Y DESINFECTANTES","0,075 __","SOLUCION JABONOSA","FRASCO","D","DERMATOLOGICOS","8","MEDICAMENTO -ANTISÉPTICOS Y DESINFECTANTES","LISTADO BASICO","47293",
"MEDICAMENTO","51142934-003","KETAMINA (CLORHIDRATO)","HABILITADO","2351","false","SISTEMA NERVIOSO","MEDICAMENTO -ANESTÉSICOS","50 MG/ML __","INYECTABLE","AMPOLLA X 10 ML","N","SISTEMA NERVIOSO","1","MEDICAMENTO -ANESTÉSICOS","LISTADO BASICO","47294",
"MEDICAMENTO","51101811-001","KETOCONAZOL","HABILITADO","2353","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIMICÓTICOS PARA USO SISTÉMICO","200 MG __","COMPRIMIDO","BLISTER X 10","J","ANTIINFECCIOSOS PARA USO SISTEMICO","2","MEDICAMENTO -ANTIMICÓTICOS PARA USO SISTÉMICO","LISTADO BASICO","47295",
"MEDICAMENTO","51101538-001","LEVOFLOXACINA","HABILITADO","2362","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","5 MG/ML __","INYECTABLE","FRASCO 100ML","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47296",
"MEDICAMENTO","51181608-001","LEVOTIROXINA SODICA","HABILITADO","2369","false","PREPARADOS HORMONALES SISTEMICOS","MEDICAMENTO -TERAPIA TIROIDEA","50 MCG __","COMPRIMIDO","BLISTER X 10","H","PREPARADOS HORMONALES SISTEMICOS","3","MEDICAMENTO -TERAPIA TIROIDEA","LISTADO BASICO","47297",
"MEDICAMENTO","51142904-006","LIDOCAINA","HABILITADO","2370","false","DERMATOLOGICOS","MEDICAMENTO -ANTIPRURIGINOSOS, INCLUYENDO ANTIHISTAMÍNICOS,ANESTÉSICOS,ETC","0,02 __","GEL O JALEA","FRASCO","D","DERMATOLOGICOS","4","MEDICAMENTO -ANTIPRURIGINOSOS, INCLUYENDO ANTIHISTAMÍNICOS,ANESTÉSICOS,ETC","LISTADO BASICO","47298",
"MEDICAMENTO","51142904-002","LIDOCAINA CLORHIDRATO + EPINEFRINA","HABILITADO","2373","false","SISTEMA NERVIOSO","MEDICAMENTO -ANESTÉSICOS","2% + EPINEFRINA 1:100000 __","INYECTABLE","CARTUCHO 1,8ML","N","SISTEMA NERVIOSO","1","MEDICAMENTO -ANESTÉSICOS","LISTADO BASICO","47299",
"MEDICAMENTO","51101611-001","MEROPENEM","HABILITADO","2384","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","500 MG __","INYECTABLE","FRASCO AMPOLLA","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47300",
"MEDICAMENTO","51181517-001","METFORMINA","HABILITADO","2386","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -MEDICAMENTOS USADOS EN DIABETES","850 MG __","COMPRIMIDO","BLISTER X 10","A","TRACTO ALIMENTARIO Y METABOLISMO","10","MEDICAMENTO -MEDICAMENTOS USADOS EN DIABETES","LISTADO BASICO","47301",
"MEDICAMENTO","","METFORMINA + ROSIGLITAZONA","HABILITADO","2387","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -MEDICAMENTOS USADOS EN DIABETES","500 MG + 2 MG __","COMPRIMIDO","BLISTER X 10","A","TRACTO ALIMENTARIO Y METABOLISMO","10","MEDICAMENTO -MEDICAMENTOS USADOS EN DIABETES","LISTADO BASICO","47302",
"MEDICAMENTO","51171806-001","METOCLOPRAMIDA","HABILITADO","2389","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL ESTÓMAGO E INSTESTINO","5MG/1ML __","INYECTABLE","AMPOLLA X 2 ML","A","TRACTO ALIMENTARIO Y METABOLISMO","3","MEDICAMENTO -AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL ESTÓMAGO E INSTESTINO","LISTADO BASICO","47303",
"MEDICAMENTO","51171806-003","METOCLOPRAMIDA","HABILITADO","2390","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL ESTÓMAGO E INSTESTINO","4MG/ML __","LIQUIDO ORAL","FRASCO GOTERO","A","TRACTO ALIMENTARIO Y METABOLISMO","3","MEDICAMENTO -AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL ESTÓMAGO E INSTESTINO","LISTADO BASICO","47304",
"MEDICAMENTO","51111610-002","METOTREXATO","HABILITADO","2392","false","ANTINEOPLASICOS E INMUNOMODULARES","MEDICAMENTO -ANTINEOPLÁSICOS","500 MG __","INYECTABLE","FRASCO AMPOLLA","L","ANTINEOPLASICOS E INMUNOMODULARES","1","MEDICAMENTO -ANTINEOPLÁSICOS","LISTADO BASICO","47305",
"MEDICAMENTO","51101603-003","METRONIDAZOL","HABILITADO","2395","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","500 MG __","INYECTABLE","FRASCO AMPOLLA","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47306",
"MEDICAMENTO","51101603-004","METRONIDAZOL","HABILITADO","2396","false","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","MEDICAMENTO -ANTIPROTOZOARIOS","250 MG/5 ML __","LIQUIDO ORAL","FRASCO","P","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","1","MEDICAMENTO -ANTIPROTOZOARIOS","LISTADO BASICO","47307",
"MEDICAMENTO","51101603-001","METRONIDAZOL","HABILITADO","2397","false","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","MEDICAMENTO -ANTIPROTOZOARIOS","500 MG __","COMPRIMIDO","BLISTER X 10","P","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","1","MEDICAMENTO -ANTIPROTOZOARIOS","LISTADO BASICO","47308",
"MEDICAMENTO","51142206-002","MORFINA CLORHIDRATO","HABILITADO","2401","false","SISTEMA NERVIOSO","MEDICAMENTO -ANALGÉSICOS","1 MG/1 ML __","INYECTABLE","AMPOLLA 1ML","N","SISTEMA NERVIOSO","2","MEDICAMENTO -ANALGÉSICOS","LISTADO BASICO","47309",
"MEDICAMENTO","51191905-082","MULTIVITAMINAS Y MINERALES","HABILITADO","2402","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -VITAMINAS","CONCENTRACION ESTANDAR __","COMPRIMIDO","BLISTER X 10","A","TRACTO ALIMENTARIO Y METABOLISMO","11","MEDICAMENTO -VITAMINAS","LISTADO BASICO","47310",
"MEDICAMENTO","51151513-001","NEOSTIGMINA","HABILITADO","2405","false","SISTEMA NERVIOSO","MEDICAMENTO -OTRAS DROGAS QUE ACTÚAN SOBRE EL SISTEMA NERVIOSO","0,5 MG/ML __","INYECTABLE","AMPOLLA","N","SISTEMA NERVIOSO","7","MEDICAMENTO -OTRAS DROGAS QUE ACTÚAN SOBRE EL SISTEMA NERVIOSO","LISTADO BASICO","47311",
"MEDICAMENTO","51171816-002","ONDANSETRON","HABILITADO","2418","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -ANTIEMÉTICOS Y ANTINAUSEOSOS","2 MG / ML __","INYECTABLE","AMPOLLA X 4 ML","A","TRACTO ALIMENTARIO Y METABOLISMO","4","MEDICAMENTO -ANTIEMÉTICOS Y ANTINAUSEOSOS","LISTADO BASICO","47312",
"MEDICAMENTO","51171816-002","ONDANSETRON","HABILITADO","2419","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -ANTIEMÉTICOS Y ANTINAUSEOSOS","2 MG / ML __","INYECTABLE","AMPOLLA X 2 ML","A","TRACTO ALIMENTARIO Y METABOLISMO","4","MEDICAMENTO -ANTIEMÉTICOS Y ANTINAUSEOSOS","LISTADO BASICO","47313",
"MEDICAMENTO","","OSELTAMIVIR","HABILITADO","2420","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","75 MG __","COMPRIMIDO","BLISTER X 10","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47314",
